[29, '17', 'Roi[Traced,', 'x=485,', 'y=7,', 'width=3,', 'height=7]']
[30, '118', 'Roi[Traced,', 'x=163,', 'y=9,', 'width=14,', 'height=15]']
[31, '231', 'Roi[Traced,', 'x=234,', 'y=11,', 'width=22,', 'height=18]']
[32, '99', 'Roi[Traced,', 'x=402,', 'y=11,', 'width=13,', 'height=10]']
[33, '50', 'Roi[Traced,', 'x=100,', 'y=12,', 'width=9,', 'height=8]']
[34, '288', 'Roi[Traced,', 'x=193,', 'y=12,', 'width=23,', 'height=21]']
[35, '88', 'Roi[Traced,', 'x=227,', 'y=12,', 'width=13,', 'height=11]']
[36, '160', 'Roi[Traced,', 'x=449,', 'y=13,', 'width=13,', 'height=19]']
[37, '19', 'Roi[Traced,', 'x=114,', 'y=14,', 'width=6,', 'height=5]']
[38, '66', 'Roi[Traced,', 'x=21,', 'y=15,', 'width=12,', 'height=7]']
[39, '105', 'Roi[Traced,', 'x=379,', 'y=15,', 'width=12,', 'height=12]']
[40, '63', 'Roi[Traced,', 'x=481,', 'y=15,', 'width=7,', 'height=13]']
[41, '134', 'Roi[Traced,', 'x=324,', 'y=16,', 'width=17,', 'height=14]']
[42, '81', 'Roi[Traced,', 'x=130,', 'y=18,', 'width=11,', 'height=12]']
[43, '23', 'Roi[Traced,', 'x=302,', 'y=19,', 'width=7,', 'height=5]']
[44, '316', 'Roi[Traced,', 'x=35,', 'y=20,', 'width=26,', 'height=22]']
[45, '22', 'Roi[Traced,', 'x=346,', 'y=20,', 'width=5,', 'height=5]']
[46, '114', 'Roi[Traced,', 'x=353,', 'y=21,', 'width=16,', 'height=11]']
[47, '89', 'Roi[Traced,', 'x=469,', 'y=21,', 'width=11,', 'height=11]']
[48, '61', 'Roi[Traced,', 'x=0,', 'y=22,', 'width=9,', 'height=9]']
[49, '13', 'Roi[Traced,', 'x=94,', 'y=22,', 'width=4,', 'height=4]']
[50, '155', 'Roi[Traced,', 'x=61,', 'y=23,', 'width=11,', 'height=20]']
[51, '93', 'Roi[Traced,', 'x=149,', 'y=23,', 'width=10,', 'height=15]']
[52, '12', 'Roi[Traced,', 'x=296,', 'y=23,', 'width=4,', 'height=4]']
[53, '44', 'Roi[Traced,', 'x=11,', 'y=24,', 'width=9,', 'height=7]']
[54, '291', 'Roi[Traced,', 'x=427,', 'y=24,', 'width=28,', 'height=17]']
[55, '44', 'Roi[Traced,', 'x=98,', 'y=25,', 'width=9,', 'height=6]']
