[0, 'area=31', 'Roi[Traced,', 'x=36,', 'y=0,', 'width=10,', 'height=7]']
[1, 'area=27', 'Roi[Traced,', 'x=53,', 'y=0,', 'width=8,', 'height=5]']
[2, 'area=12', 'Roi[Traced,', 'x=172,', 'y=0,', 'width=5,', 'height=3]']
[3, 'area=122', 'Roi[Traced,', 'x=181,', 'y=0,', 'width=13,', 'height=13]']
[4, 'area=119', 'Roi[Traced,', 'x=213,', 'y=0,', 'width=16,', 'height=12]']
[5, 'area=15', 'Roi[Traced,', 'x=283,', 'y=0,', 'width=8,', 'height=2]']
[6, 'area=9', 'Roi[Traced,', 'x=303,', 'y=0,', 'width=4,', 'height=3]']
[7, 'area=23', 'Roi[Traced,', 'x=310,', 'y=0,', 'width=6,', 'height=5]']
[8, 'area=144', 'Roi[Traced,', 'x=327,', 'y=0,', 'width=15,', 'height=16]']
[9, 'area=87', 'Roi[Traced,', 'x=355,', 'y=0,', 'width=13,', 'height=11]']
[10, 'area=32', 'Roi[Traced,', 'x=383,', 'y=0,', 'width=9,', 'height=4]']
[11, 'area=111', 'Roi[Traced,', 'x=434,', 'y=1,', 'width=11,', 'height=15]']
[12, 'area=14', 'Roi[Traced,', 'x=7,', 'y=2,', 'width=4,', 'height=4]']
[13, 'area=121', 'Roi[Traced,', 'x=91,', 'y=2,', 'width=14,', 'height=13]']
[14, 'area=20', 'Roi[Traced,', 'x=422,', 'y=2,', 'width=5,', 'height=5]']
[15, 'area=219', 'Roi[Traced,', 'x=278,', 'y=3,', 'width=16,', 'height=21]']
[16, 'area=155', 'Roi[Traced,', 'x=371,', 'y=3,', 'width=13,', 'height=26]']
[17, 'area=87', 'Roi[Traced,', 'x=109,', 'y=5,', 'width=11,', 'height=11]']
[18, 'area=136', 'Roi[Traced,', 'x=312,', 'y=5,', 'width=15,', 'height=14]']
[19, 'area=23', 'Roi[Traced,', 'x=394,', 'y=5,', 'width=4,', 'height=8]']
[20, 'area=18', 'Roi[Traced,', 'x=168,', 'y=6,', 'width=7,', 'height=3]']
[21, 'area=23', 'Roi[Traced,', 'x=446,', 'y=6,', 'width=5,', 'height=6]']
[22, 'area=126', 'Roi[Traced,', 'x=349,', 'y=8,', 'width=10,', 'height=18]']
[23, 'area=3', 'Roi[Traced,', 'x=422,', 'y=8,', 'width=2,', 'height=2]']
[24, 'area=152', 'Roi[Traced,', 'x=261,', 'y=11,', 'width=16,', 'height=14]']
[25, 'area=7', 'Roi[Traced,', 'x=27,', 'y=12,', 'width=3,', 'height=3]']
[26, 'area=51', 'Roi[Traced,', 'x=448,', 'y=12,', 'width=7,', 'height=12]']
[27, 'area=31', 'Roi[Traced,', 'x=0,', 'y=13,', 'width=5,', 'height=10]']
[28, 'area=225', 'Roi[Traced,', 'x=191,', 'y=13,', 'width=16,', 'height=24]']
[29, 'area=128', 'Roi[Traced,', 'x=295,', 'y=13,', 'width=13,', 'height=15]']
[30, 'area=141', 'Roi[Traced,', 'x=62,', 'y=14,', 'width=12,', 'height=15]']
[31, 'area=51', 'Roi[Traced,', 'x=422,', 'y=14,', 'width=7,', 'height=10]']
[32, 'area=110', 'Roi[Traced,', 'x=11,', 'y=15,', 'width=10,', 'height=13]']
