[65, 'area=725', 'Roi[Traced,', 'x=181,', 'y=151,', 'width=29,', 'height=29]']
[66, 'area=725', 'Roi[Traced,', 'x=211,', 'y=151,', 'width=29,', 'height=29]']
[67, 'area=725', 'Roi[Traced,', 'x=241,', 'y=151,', 'width=29,', 'height=29]']
[68, 'area=725', 'Roi[Traced,', 'x=271,', 'y=151,', 'width=29,', 'height=29]']
[69, 'area=725', 'Roi[Traced,', 'x=301,', 'y=151,', 'width=29,', 'height=29]']
[70, 'area=725', 'Roi[Traced,', 'x=331,', 'y=151,', 'width=29,', 'height=29]']
[71, 'area=725', 'Roi[Traced,', 'x=361,', 'y=151,', 'width=29,', 'height=29]']
[72, 'area=725', 'Roi[Traced,', 'x=391,', 'y=151,', 'width=29,', 'height=29]']
[73, 'area=725', 'Roi[Traced,', 'x=421,', 'y=151,', 'width=29,', 'height=29]']
[74, 'area=734', 'Roi[Traced,', 'x=451,', 'y=151,', 'width=30,', 'height=29]']
[75, 'area=734', 'Roi[Traced,', 'x=30,', 'y=181,', 'width=30,', 'height=29]']
[76, 'area=725', 'Roi[Traced,', 'x=61,', 'y=181,', 'width=29,', 'height=29]']
[77, 'area=725', 'Roi[Traced,', 'x=91,', 'y=181,', 'width=29,', 'height=29]']
[78, 'area=725', 'Roi[Traced,', 'x=121,', 'y=181,', 'width=29,', 'height=29]']
[79, 'area=725', 'Roi[Traced,', 'x=151,', 'y=181,', 'width=29,', 'height=29]']
[80, 'area=725', 'Roi[Traced,', 'x=181,', 'y=181,', 'width=29,', 'height=29]']
[81, 'area=725', 'Roi[Traced,', 'x=211,', 'y=181,', 'width=29,', 'height=29]']
[82, 'area=725', 'Roi[Traced,', 'x=241,', 'y=181,', 'width=29,', 'height=29]']
[83, 'area=725', 'Roi[Traced,', 'x=271,', 'y=181,', 'width=29,', 'height=29]']
[84, 'area=725', 'Roi[Traced,', 'x=301,', 'y=181,', 'width=29,', 'height=29]']
[85, 'area=725', 'Roi[Traced,', 'x=331,', 'y=181,', 'width=29,', 'height=29]']
[86, 'area=725', 'Roi[Traced,', 'x=361,', 'y=181,', 'width=29,', 'height=29]']
[87, 'area=725', 'Roi[Traced,', 'x=391,', 'y=181,', 'width=29,', 'height=29]']
[88, 'area=725', 'Roi[Traced,', 'x=421,', 'y=181,', 'width=29,', 'height=29]']
[89, 'area=734', 'Roi[Traced,', 'x=451,', 'y=181,', 'width=30,', 'height=29]']
[90, 'area=734', 'Roi[Traced,', 'x=30,', 'y=211,', 'width=30,', 'height=29]']
[91, 'area=725', 'Roi[Traced,', 'x=61,', 'y=211,', 'width=29,', 'height=29]']
[92, 'area=725', 'Roi[Traced,', 'x=91,', 'y=211,', 'width=29,', 'height=29]']
[93, 'area=725', 'Roi[Traced,', 'x=121,', 'y=211,', 'width=29,', 'height=29]']
[94, 'area=725', 'Roi[Traced,', 'x=151,', 'y=211,', 'width=29,', 'height=29]']
[95, 'area=725', 'Roi[Traced,', 'x=181,', 'y=211,', 'width=29,', 'height=29]']
[96, 'area=725', 'Roi[Traced,', 'x=211,', 'y=211,', 'width=29,', 'height=29]']
[97, 'area=725', 'Roi[Traced,', 'x=241,', 'y=211,', 'width=29,', 'height=29]']
[98, 'area=725', 'Roi[Traced,', 'x=271,', 'y=211,', 'width=29,', 'height=29]']
[99, 'area=725', 'Roi[Traced,', 'x=301,', 'y=211,', 'width=29,', 'height=29]']
[100, 'area=725', 'Roi[Traced,', 'x=331,', 'y=211,', 'width=29,', 'height=29]']
[101, 'area=725', 'Roi[Traced,', 'x=361,', 'y=211,', 'width=29,', 'height=29]']
[102, 'area=725', 'Roi[Traced,', 'x=391,', 'y=211,', 'width=29,', 'height=29]']
[103, 'area=725', 'Roi[Traced,', 'x=421,', 'y=211,', 'width=29,', 'height=29]']
[104, 'area=734', 'Roi[Traced,', 'x=451,', 'y=211,', 'width=30,', 'height=29]']
[105, 'area=734', 'Roi[Traced,', 'x=30,', 'y=241,', 'width=30,', 'height=29]']
[106, 'area=725', 'Roi[Traced,', 'x=61,', 'y=241,', 'width=29,', 'height=29]']
[107, 'area=725', 'Roi[Traced,', 'x=91,', 'y=241,', 'width=29,', 'height=29]']
