[0, '=5', 'Roi[Traced,', 'x=4,', 'y=0,', 'width=3,', 'height=2]']
[1, '=5', 'Roi[Traced,', 'x=89,', 'y=0,', 'width=3,', 'height=2]']
[2, '=15', 'Roi[Traced,', 'x=18,', 'y=2,', 'width=4,', 'height=4]']
[3, '=5', 'Roi[Traced,', 'x=63,', 'y=14,', 'width=3,', 'height=3]']
[4, '=10', 'Roi[Traced,', 'x=252,', 'y=34,', 'width=4,', 'height=4]']
[5, '=13', 'Roi[Traced,', 'x=48,', 'y=36,', 'width=4,', 'height=4]']
[6, '=21', 'Roi[Traced,', 'x=239,', 'y=36,', 'width=4,', 'height=8]']
[7, '=20', 'Roi[Traced,', 'x=163,', 'y=37,', 'width=4,', 'height=6]']
[8, '=6', 'Roi[Traced,', 'x=140,', 'y=39,', 'width=2,', 'height=3]']
[9, '=8', 'Roi[Traced,', 'x=8,', 'y=42,', 'width=3,', 'height=3]']
[10, '=12', 'Roi[Traced,', 'x=448,', 'y=45,', 'width=4,', 'height=4]']
[11, '=27', 'Roi[Traced,', 'x=53,', 'y=46,', 'width=9,', 'height=4]']
[12, '=7', 'Roi[Traced,', 'x=35,', 'y=53,', 'width=3,', 'height=3]']
[13, '=15', 'Roi[Traced,', 'x=75,', 'y=54,', 'width=4,', 'height=4]']
[14, '=9', 'Roi[Traced,', 'x=111,', 'y=56,', 'width=4,', 'height=3]']
[15, '=9', 'Roi[Traced,', 'x=107,', 'y=66,', 'width=5,', 'height=3]']
[16, '=22', 'Roi[Traced,', 'x=345,', 'y=66,', 'width=5,', 'height=8]']
[17, '=16', 'Roi[Traced,', 'x=141,', 'y=70,', 'width=4,', 'height=6]']
[18, '=10', 'Roi[Traced,', 'x=128,', 'y=71,', 'width=3,', 'height=4]']
[19, '=8', 'Roi[Traced,', 'x=61,', 'y=73,', 'width=4,', 'height=3]']
[20, '=10', 'Roi[Traced,', 'x=5,', 'y=77,', 'width=3,', 'height=5]']
[21, '=16', 'Roi[Traced,', 'x=297,', 'y=77,', 'width=5,', 'height=4]']
[22, '=23', 'Roi[Traced,', 'x=134,', 'y=81,', 'width=5,', 'height=7]']
[23, '=11', 'Roi[Traced,', 'x=211,', 'y=91,', 'width=4,', 'height=5]']
[24, '=10', 'Roi[Traced,', 'x=57,', 'y=96,', 'width=3,', 'height=4]']
[25, '=7', 'Roi[Traced,', 'x=88,', 'y=104,', 'width=3,', 'height=3]']
[26, '=12', 'Roi[Traced,', 'x=311,', 'y=118,', 'width=4,', 'height=4]']
[27, '=21', 'Roi[Traced,', 'x=38,', 'y=121,', 'width=5,', 'height=5]']
[28, '=4', 'Roi[Traced,', 'x=46,', 'y=126,', 'width=2,', 'height=3]']
[29, '=8', 'Roi[Traced,', 'x=242,', 'y=136,', 'width=2,', 'height=4]']
[30, '=16', 'Roi[Traced,', 'x=39,', 'y=139,', 'width=5,', 'height=5]']
