[68, '=28', 'Roi[Traced,', 'x=423,', 'y=23,', 'width=4,', 'height=9]']
[69, '=99', 'Roi[Traced,', 'x=75,', 'y=24,', 'width=12,', 'height=11]']
[70, '=49', 'Roi[Traced,', 'x=209,', 'y=24,', 'width=8,', 'height=9]']
[71, '=145', 'Roi[Traced,', 'x=242,', 'y=24,', 'width=15,', 'height=14]']
[72, '=435', 'Roi[Traced,', 'x=122,', 'y=25,', 'width=31,', 'height=27]']
[73, '=106', 'Roi[Traced,', 'x=301,', 'y=25,', 'width=11,', 'height=15]']
[74, '=76', 'Roi[Traced,', 'x=195,', 'y=26,', 'width=10,', 'height=11]']
[75, '=38', 'Roi[Traced,', 'x=413,', 'y=26,', 'width=7,', 'height=8]']
[76, '=64', 'Roi[Traced,', 'x=223,', 'y=27,', 'width=8,', 'height=10]']
[77, '=107', 'Roi[Traced,', 'x=555,', 'y=27,', 'width=10,', 'height=16]']
[78, '=161', 'Roi[Traced,', 'x=620,', 'y=27,', 'width=17,', 'height=15]']
[79, '=57', 'Roi[Traced,', 'x=10,', 'y=29,', 'width=8,', 'height=9]']
[80, '=117', 'Roi[Traced,', 'x=181,', 'y=29,', 'width=12,', 'height=13]']
[81, '=62', 'Roi[Traced,', 'x=30,', 'y=30,', 'width=9,', 'height=10]']
[82, '=117', 'Roi[Traced,', 'x=48,', 'y=30,', 'width=11,', 'height=15]']
[83, '=103', 'Roi[Traced,', 'x=258,', 'y=30,', 'width=12,', 'height=12]']
[84, '=153', 'Roi[Traced,', 'x=159,', 'y=31,', 'width=15,', 'height=17]']
[85, '=319', 'Roi[Traced,', 'x=528,', 'y=31,', 'width=22,', 'height=34]']
[86, '=12', 'Roi[Traced,', 'x=67,', 'y=32,', 'width=4,', 'height=4]']
[87, '=353', 'Roi[Traced,', 'x=94,', 'y=32,', 'width=27,', 'height=26]']
[88, '=177', 'Roi[Traced,', 'x=234,', 'y=33,', 'width=14,', 'height=20]']
[89, '=60', 'Roi[Traced,', 'x=272,', 'y=33,', 'width=8,', 'height=10]']
[90, '=80', 'Roi[Traced,', 'x=316,', 'y=33,', 'width=10,', 'height=10]']
[91, '=118', 'Roi[Traced,', 'x=355,', 'y=34,', 'width=15,', 'height=17]']
[92, '=49', 'Roi[Traced,', 'x=427,', 'y=34,', 'width=7,', 'height=9]']
[93, '=104', 'Roi[Traced,', 'x=579,', 'y=35,', 'width=12,', 'height=14]']
[94, '=176', 'Roi[Traced,', 'x=584,', 'y=35,', 'width=16,', 'height=22]']
[95, '=10', 'Roi[Traced,', 'x=65,', 'y=37,', 'width=4,', 'height=4]']
[96, '=234', 'Roi[Traced,', 'x=281,', 'y=37,', 'width=27,', 'height=16]']
