[68, '=313', 'Roi[Traced,', 'x=24,', 'y=108,', 'width=24,', 'height=25]']
[69, '=19', 'Roi[Traced,', 'x=596,', 'y=109,', 'width=4,', 'height=7]']
[70, '=462', 'Roi[Traced,', 'x=214,', 'y=110,', 'width=25,', 'height=24]']
[71, '=559', 'Roi[Traced,', 'x=404,', 'y=112,', 'width=27,', 'height=28]']
[72, '=689', 'Roi[Traced,', 'x=331,', 'y=113,', 'width=30,', 'height=30]']
[73, '=214', 'Roi[Traced,', 'x=0,', 'y=114,', 'width=17,', 'height=22]']
[74, '=205', 'Roi[Traced,', 'x=250,', 'y=116,', 'width=24,', 'height=19]']
[75, '=348', 'Roi[Traced,', 'x=481,', 'y=117,', 'width=27,', 'height=19]']
[76, '=658', 'Roi[Traced,', 'x=527,', 'y=117,', 'width=32,', 'height=28]']
[77, '=383', 'Roi[Traced,', 'x=296,', 'y=119,', 'width=23,', 'height=27]']
[78, '=54', 'Roi[Traced,', 'x=113,', 'y=122,', 'width=9,', 'height=8]']
[79, '=465', 'Roi[Traced,', 'x=129,', 'y=126,', 'width=26,', 'height=26]']
[80, '=425', 'Roi[Traced,', 'x=514,', 'y=128,', 'width=27,', 'height=27]']
[81, '=30', 'Roi[Traced,', 'x=56,', 'y=130,', 'width=7,', 'height=6]']
[82, '=202', 'Roi[Traced,', 'x=487,', 'y=131,', 'width=21,', 'height=15]']
[83, '=27', 'Roi[Traced,', 'x=50,', 'y=133,', 'width=6,', 'height=6]']
[84, '=431', 'Roi[Traced,', 'x=262,', 'y=139,', 'width=30,', 'height=22]']
[85, '=318', 'Roi[Traced,', 'x=484,', 'y=140,', 'width=26,', 'height=24]']
[86, '=52', 'Roi[Traced,', 'x=424,', 'y=141,', 'width=10,', 'height=7]']
[87, '=396', 'Roi[Traced,', 'x=148,', 'y=146,', 'width=28,', 'height=24]']
[88, '=16', 'Roi[Traced,', 'x=578,', 'y=146,', 'width=5,', 'height=5]']
[89, '=341', 'Roi[Traced,', 'x=180,', 'y=158,', 'width=23,', 'height=28]']
[90, '=255', 'Roi[Traced,', 'x=288,', 'y=159,', 'width=19,', 'height=22]']
[91, '=238', 'Roi[Traced,', 'x=303,', 'y=160,', 'width=16,', 'height=23]']
[92, '=411', 'Roi[Traced,', 'x=0,', 'y=162,', 'width=25,', 'height=26]']
[93, '=483', 'Roi[Traced,', 'x=516,', 'y=162,', 'width=25,', 'height=28]']
[94, '=95', 'Roi[Traced,', 'x=213,', 'y=163,', 'width=16,', 'height=9]']
[95, '=26', 'Roi[Traced,', 'x=596,', 'y=164,', 'width=4,', 'height=9]']
[96, '=936', 'Roi[Traced,', 'x=399,', 'y=165,', 'width=45,', 'height=29]']
[97, '=485', 'Roi[Traced,', 'x=365,', 'y=166,', 'width=25,', 'height=28]']
[98, '=482', 'Roi[Traced,', 'x=467,', 'y=167,', 'width=27,', 'height=29]']
[99, '=265', 'Roi[Traced,', 'x=566,', 'y=169,', 'width=14,', 'height=28]']
[100, '=264', 'Roi[Traced,', 'x=209,', 'y=170,', 'width=23,', 'height=18]']
[101, '=437', 'Roi[Traced,', 'x=255,', 'y=174,', 'width=28,', 'height=24]']
[102, '=254', 'Roi[Traced,', 'x=550,', 'y=174,', 'width=15,', 'height=23]']
[103, '=4', 'Roi[Traced,', 'x=244,', 'y=175,', 'width=2,', 'height=2]']
[104, '=134', 'Roi[Traced,', 'x=67,', 'y=180,', 'width=13,', 'height=19]']
[105, '=221', 'Roi[Traced,', 'x=50,', 'y=181,', 'width=21,', 'height=21]']
[106, '=317', 'Roi[Traced,', 'x=148,', 'y=181,', 'width=21,', 'height=26]']
[107, '=424', 'Roi[Traced,', 'x=85,', 'y=186,', 'width=23,', 'height=24]']
[108, '=462', 'Roi[Traced,', 'x=284,', 'y=186,', 'width=24,', 'height=24]']
[109, '=425', 'Roi[Traced,', 'x=162,', 'y=188,', 'width=25,', 'height=22]']
[110, '=17', 'Roi[Traced,', 'x=28,', 'y=195,', 'width=5,', 'height=4]']
[111, '=111', 'Roi[Traced,', 'x=521,', 'y=195,', 'width=16,', 'height=14]']
[112, '=267', 'Roi[Traced,', 'x=500,', 'y=196,', 'width=27,', 'height=19]']
[113, '=540', 'Roi[Traced,', 'x=0,', 'y=198,', 'width=30,', 'height=25]']
[114, '=18', 'Roi[Traced,', 'x=226,', 'y=198,', 'width=5,', 'height=5]']
[115, '=457', 'Roi[Traced,', 'x=239,', 'y=200,', 'width=25,', 'height=25]']
[116, '=222', 'Roi[Traced,', 'x=402,', 'y=201,', 'width=23,', 'height=17]']
[117, '=534', 'Roi[Traced,', 'x=536,', 'y=201,', 'width=26,', 'height=28]']
[118, '=198', 'Roi[Traced,', 'x=589,', 'y=206,', 'width=11,', 'height=29]']
[119, '=27', 'Roi[Traced,', 'x=62,', 'y=207,', 'width=6,', 'height=6]']
[120, '=137', 'Roi[Traced,', 'x=398,', 'y=207,', 'width=12,', 'height=19]']
[121, '=493', 'Roi[Traced,', 'x=205,', 'y=209,', 'width=28,', 'height=26]']
[122, '=528', 'Roi[Traced,', 'x=302,', 'y=211,', 'width=27,', 'height=28]']
[123, '=424', 'Roi[Traced,', 'x=365,', 'y=213,', 'width=24,', 'height=29]']
[124, '=460', 'Roi[Traced,', 'x=124,', 'y=218,', 'width=24,', 'height=26]']
[125, '=533', 'Roi[Traced,', 'x=178,', 'y=219,', 'width=25,', 'height=31]']
[126, '=420', 'Roi[Traced,', 'x=490,', 'y=219,', 'width=23,', 'height=24]']
[127, '=98', 'Roi[Traced,', 'x=0,', 'y=220,', 'width=12,', 'height=10]']
[128, '=269', 'Roi[Traced,', 'x=408,', 'y=224,', 'width=20,', 'height=22]']
[129, '=48', 'Roi[Traced,', 'x=452,', 'y=227,', 'width=4,', 'height=13]']
[130, '=559', 'Roi[Traced,', 'x=515,', 'y=229,', 'width=28,', 'height=32]']
[131, '=195', 'Roi[Traced,', 'x=69,', 'y=230,', 'width=20,', 'height=21]']
[132, '=457', 'Roi[Traced,', 'x=152,', 'y=230,', 'width=23,', 'height=25]']
[133, '=407', 'Roi[Traced,', 'x=334,', 'y=231,', 'width=27,', 'height=28]']
[134, '=141', 'Roi[Traced,', 'x=81,', 'y=234,', 'width=14,', 'height=19]']
[135, '=231', 'Roi[Traced,', 'x=468,', 'y=235,', 'width=19,', 'height=20]']
[136, '=454', 'Roi[Traced,', 'x=259,', 'y=237,', 'width=27,', 'height=28]']
[137, '=95', 'Roi[Traced,', 'x=0,', 'y=238,', 'width=7,', 'height=18]']
