[0, '=77', 'Roi[Traced,', 'x=0,', 'y=0,', 'width=8,', 'height=13]']
[1, '=973', 'Roi[Traced,', 'x=11,', 'y=0,', 'width=40,', 'height=33]']
[2, '=119', 'Roi[Traced,', 'x=43,', 'y=0,', 'width=25,', 'height=8]']
[3, '=372', 'Roi[Traced,', 'x=100,', 'y=0,', 'width=33,', 'height=24]']
[4, '=474', 'Roi[Traced,', 'x=139,', 'y=0,', 'width=27,', 'height=21]']
[5, '=245', 'Roi[Traced,', 'x=184,', 'y=0,', 'width=24,', 'height=21]']
[6, '=95', 'Roi[Traced,', 'x=205,', 'y=0,', 'width=15,', 'height=10]']
[7, '=1451', 'Roi[Traced,', 'x=227,', 'y=0,', 'width=51,', 'height=55]']
[8, '=130', 'Roi[Traced,', 'x=269,', 'y=0,', 'width=20,', 'height=10]']
[9, '=444', 'Roi[Traced,', 'x=289,', 'y=0,', 'width=33,', 'height=18]']
[10, '=922', 'Roi[Traced,', 'x=362,', 'y=0,', 'width=44,', 'height=37]']
[11, '=247', 'Roi[Traced,', 'x=423,', 'y=0,', 'width=30,', 'height=16]']
[12, '=423', 'Roi[Traced,', 'x=453,', 'y=0,', 'width=33,', 'height=21]']
[13, '=412', 'Roi[Traced,', 'x=516,', 'y=0,', 'width=33,', 'height=26]']
[14, '=50', 'Roi[Traced,', 'x=561,', 'y=0,', 'width=15,', 'height=5]']
[15, '=381', 'Roi[Traced,', 'x=560,', 'y=0,', 'width=28,', 'height=22]']
[16, '=120', 'Roi[Traced,', 'x=603,', 'y=0,', 'width=17,', 'height=16]']
[17, '=92', 'Roi[Traced,', 'x=620,', 'y=0,', 'width=11,', 'height=15]']
[18, '=620', 'Roi[Traced,', 'x=641,', 'y=0,', 'width=29,', 'height=28]']
[19, '=346', 'Roi[Traced,', 'x=682,', 'y=0,', 'width=28,', 'height=24]']
[20, '=120', 'Roi[Traced,', 'x=694,', 'y=0,', 'width=17,', 'height=12]']
[21, '=46', 'Roi[Traced,', 'x=727,', 'y=0,', 'width=19,', 'height=3]']
[22, '=114', 'Roi[Traced,', 'x=750,', 'y=0,', 'width=27,', 'height=6]']
[23, '=316', 'Roi[Traced,', 'x=792,', 'y=0,', 'width=25,', 'height=19]']
[24, '=130', 'Roi[Traced,', 'x=816,', 'y=0,', 'width=11,', 'height=17]']
[25, '=156', 'Roi[Traced,', 'x=830,', 'y=0,', 'width=20,', 'height=11]']
[26, '=103', 'Roi[Traced,', 'x=848,', 'y=0,', 'width=18,', 'height=9]']
[27, '=541', 'Roi[Traced,', 'x=894,', 'y=0,', 'width=33,', 'height=22]']
[28, '=121', 'Roi[Traced,', 'x=928,', 'y=0,', 'width=17,', 'height=23]']
[29, '=190', 'Roi[Traced,', 'x=949,', 'y=0,', 'width=29,', 'height=9]']
[30, '=402', 'Roi[Traced,', 'x=1003,', 'y=0,', 'width=37,', 'height=16]']
[31, '=211', 'Roi[Traced,', 'x=1102,', 'y=0,', 'width=29,', 'height=10]']
[32, '=64', 'Roi[Traced,', 'x=1140,', 'y=0,', 'width=14,', 'height=8]']
[33, '=98', 'Roi[Traced,', 'x=1155,', 'y=0,', 'width=15,', 'height=8]']
[34, '=75', 'Roi[Traced,', 'x=1171,', 'y=0,', 'width=15,', 'height=7]']
[35, '=569', 'Roi[Traced,', 'x=1195,', 'y=0,', 'width=32,', 'height=27]']
[36, '=1017', 'Roi[Traced,', 'x=1231,', 'y=0,', 'width=45,', 'height=32]']
[37, '=458', 'Roi[Traced,', 'x=1276,', 'y=0,', 'width=41,', 'height=19]']
[38, '=684', 'Roi[Traced,', 'x=1290,', 'y=0,', 'width=48,', 'height=32]']
[39, '=389', 'Roi[Traced,', 'x=1357,', 'y=0,', 'width=29,', 'height=17]']
[40, '=280', 'Roi[Traced,', 'x=1398,', 'y=0,', 'width=31,', 'height=13]']
[41, '=15', 'Roi[Traced,', 'x=1437,', 'y=0,', 'width=5,', 'height=4]']
[42, '=122', 'Roi[Traced,', 'x=1457,', 'y=0,', 'width=20,', 'height=9]']
[43, '=403', 'Roi[Traced,', 'x=1482,', 'y=0,', 'width=31,', 'height=21]']
[44, '=696', 'Roi[Traced,', 'x=1553,', 'y=0,', 'width=38,', 'height=30]']
[45, '=283', 'Roi[Traced,', 'x=177,', 'y=1,', 'width=25,', 'height=26]']
[46, '=459', 'Roi[Traced,', 'x=1450,', 'y=2,', 'width=31,', 'height=25]']
[47, '=797', 'Roi[Traced,', 'x=55,', 'y=3,', 'width=32,', 'height=33]']
[48, '=794', 'Roi[Traced,', 'x=733,', 'y=3,', 'width=37,', 'height=33]']
[49, '=219', 'Roi[Traced,', 'x=772,', 'y=4,', 'width=20,', 'height=19]']
[50, '=393', 'Roi[Traced,', 'x=837,', 'y=4,', 'width=31,', 'height=21]']
[51, '=283', 'Roi[Traced,', 'x=860,', 'y=5,', 'width=23,', 'height=28]']
[52, '=351', 'Roi[Traced,', 'x=269,', 'y=7,', 'width=26,', 'height=26]']
[53, '=341', 'Roi[Traced,', 'x=422,', 'y=7,', 'width=29,', 'height=21]']
[54, '=196', 'Roi[Traced,', 'x=99,', 'y=8,', 'width=24,', 'height=13]']
[55, '=602', 'Roi[Traced,', 'x=1117,', 'y=9,', 'width=33,', 'height=29]']
[56, '=757', 'Roi[Traced,', 'x=324,', 'y=10,', 'width=33,', 'height=45]']
[57, '=330', 'Roi[Traced,', 'x=1156,', 'y=11,', 'width=20,', 'height=28]']
[58, '=264', 'Roi[Traced,', 'x=1170,', 'y=11,', 'width=16,', 'height=27]']
[59, '=683', 'Roi[Traced,', 'x=1335,', 'y=11,', 'width=29,', 'height=32]']
[60, '=99', 'Roi[Traced,', 'x=1594,', 'y=11,', 'width=6,', 'height=23]']
[61, '=36', 'Roi[Traced,', 'x=987,', 'y=12,', 'width=7,', 'height=7]']
[62, '=986', 'Roi[Traced,', 'x=1003,', 'y=12,', 'width=48,', 'height=46]']
[63, '=23', 'Roi[Traced,', 'x=2,', 'y=13,', 'width=4,', 'height=7]']
[64, '=565', 'Roi[Traced,', 'x=943,', 'y=14,', 'width=28,', 'height=30]']
[65, '=234', 'Roi[Traced,', 'x=515,', 'y=15,', 'width=28,', 'height=16]']
[66, '=565', 'Roi[Traced,', 'x=702,', 'y=19,', 'width=29,', 'height=28]']
[67, '=555', 'Roi[Traced,', 'x=1425,', 'y=19,', 'width=30,', 'height=29]']
[68, '=242', 'Roi[Traced,', 'x=579,', 'y=20,', 'width=25,', 'height=25]']
[69, '=642', 'Roi[Traced,', 'x=774,', 'y=20,', 'width=48,', 'height=33]']
[70, '=387', 'Roi[Traced,', 'x=613,', 'y=21,', 'width=27,', 'height=27]']
[71, '=670', 'Roi[Traced,', 'x=1387,', 'y=21,', 'width=33,', 'height=30]']
[72, '=514', 'Roi[Traced,', 'x=1503,', 'y=23,', 'width=30,', 'height=29]']
[73, '=803', 'Roi[Traced,', 'x=1536,', 'y=23,', 'width=33,', 'height=31]']
[74, '=258', 'Roi[Traced,', 'x=226,', 'y=24,', 'width=24,', 'height=29]']
[75, '=1079', 'Roi[Traced,', 'x=1199,', 'y=24,', 'width=43,', 'height=51]']
[76, '=1420', 'Roi[Traced,', 'x=0,', 'y=25,', 'width=37,', 'height=52]']
[77, '=101', 'Roi[Traced,', 'x=212,', 'y=25,', 'width=14,', 'height=17]']
[78, '=1045', 'Roi[Traced,', 'x=451,', 'y=25,', 'width=51,', 'height=31]']
[79, '=514', 'Roi[Traced,', 'x=898,', 'y=26,', 'width=30,', 'height=31]']
[80, '=585', 'Roi[Traced,', 'x=918,', 'y=27,', 'width=29,', 'height=40]']
[81, '=795', 'Roi[Traced,', 'x=969,', 'y=27,', 'width=34,', 'height=32]']
[82, '=1189', 'Roi[Traced,', 'x=1057,', 'y=27,', 'width=40,', 'height=47]']
[83, '=577', 'Roi[Traced,', 'x=1351,', 'y=27,', 'width=32,', 'height=32]']
[84, '=67', 'Roi[Traced,', 'x=117,', 'y=28,', 'width=10,', 'height=10]']
[85, '=114', 'Roi[Traced,', 'x=589,', 'y=28,', 'width=18,', 'height=19]']
[86, '=402', 'Roi[Traced,', 'x=828,', 'y=28,', 'width=28,', 'height=27]']
[87, '=183', 'Roi[Traced,', 'x=1310,', 'y=29,', 'width=26,', 'height=22]']
[88, '=158', 'Roi[Traced,', 'x=348,', 'y=31,', 'width=16,', 'height=20]']
[89, '=68', 'Roi[Traced,', 'x=1039,', 'y=31,', 'width=13,', 'height=11]']
[90, '=602', 'Roi[Traced,', 'x=1572,', 'y=32,', 'width=28,', 'height=32]']
