[0, '=165', 'Roi[Traced,', 'x=0,', 'y=0,', 'width=12,', 'height=23]']
[1, '=108', 'Roi[Traced,', 'x=11,', 'y=0,', 'width=12,', 'height=17]']
[2, '=35', 'Roi[Traced,', 'x=51,', 'y=0,', 'width=10,', 'height=4]']
[3, '=21', 'Roi[Traced,', 'x=75,', 'y=0,', 'width=8,', 'height=3]']
[4, '=149', 'Roi[Traced,', 'x=110,', 'y=0,', 'width=12,', 'height=16]']
[5, '=129', 'Roi[Traced,', 'x=127,', 'y=0,', 'width=13,', 'height=13]']
[6, '=136', 'Roi[Traced,', 'x=138,', 'y=0,', 'width=12,', 'height=17]']
[7, '=115', 'Roi[Traced,', 'x=215,', 'y=0,', 'width=14,', 'height=12]']
[8, '=143', 'Roi[Traced,', 'x=244,', 'y=0,', 'width=14,', 'height=13]']
[9, '=126', 'Roi[Traced,', 'x=286,', 'y=0,', 'width=13,', 'height=14]']
[10, '=146', 'Roi[Traced,', 'x=321,', 'y=0,', 'width=16,', 'height=14]']
[11, '=50', 'Roi[Traced,', 'x=341,', 'y=0,', 'width=10,', 'height=6]']
[12, '=41', 'Roi[Traced,', 'x=352,', 'y=0,', 'width=12,', 'height=4]']
[13, '=43', 'Roi[Traced,', 'x=384,', 'y=0,', 'width=10,', 'height=6]']
[14, '=69', 'Roi[Traced,', 'x=398,', 'y=0,', 'width=19,', 'height=8]']
[15, '=5', 'Roi[Traced,', 'x=514,', 'y=0,', 'width=3,', 'height=2]']
[16, '=44', 'Roi[Traced,', 'x=526,', 'y=0,', 'width=11,', 'height=6]']
[17, '=65', 'Roi[Traced,', 'x=539,', 'y=0,', 'width=11,', 'height=8]']
[18, '=26', 'Roi[Traced,', 'x=314,', 'y=1,', 'width=5,', 'height=7]']
[19, '=579', 'Roi[Traced,', 'x=415,', 'y=1,', 'width=45,', 'height=24]']
[20, '=95', 'Roi[Traced,', 'x=480,', 'y=2,', 'width=9,', 'height=15]']
[21, '=153', 'Roi[Traced,', 'x=507,', 'y=2,', 'width=13,', 'height=18]']
[22, '=128', 'Roi[Traced,', 'x=465,', 'y=3,', 'width=14,', 'height=12]']
[23, '=126', 'Roi[Traced,', 'x=530,', 'y=3,', 'width=14,', 'height=14]']
[24, '=161', 'Roi[Traced,', 'x=50,', 'y=5,', 'width=24,', 'height=16]']
[25, '=175', 'Roi[Traced,', 'x=85,', 'y=5,', 'width=15,', 'height=18]']
[26, '=195', 'Roi[Traced,', 'x=227,', 'y=5,', 'width=18,', 'height=19]']
[27, '=25', 'Roi[Traced,', 'x=166,', 'y=6,', 'width=7,', 'height=5]']
[28, '=52', 'Roi[Traced,', 'x=195,', 'y=6,', 'width=9,', 'height=9]']
[29, '=36', 'Roi[Traced,', 'x=369,', 'y=6,', 'width=7,', 'height=7]']
[30, '=260', 'Roi[Traced,', 'x=172,', 'y=7,', 'width=24,', 'height=26]']
[31, '=101', 'Roi[Traced,', 'x=37,', 'y=8,', 'width=10,', 'height=14]']
[32, '=150', 'Roi[Traced,', 'x=333,', 'y=8,', 'width=13,', 'height=18]']
[33, '=26', 'Roi[Traced,', 'x=268,', 'y=9,', 'width=6,', 'height=5]']
[34, '=131', 'Roi[Traced,', 'x=298,', 'y=9,', 'width=12,', 'height=15]']
[35, '=48', 'Roi[Traced,', 'x=355,', 'y=10,', 'width=8,', 'height=10]']
[36, '=115', 'Roi[Traced,', 'x=205,', 'y=11,', 'width=11,', 'height=16]']
[37, '=48', 'Roi[Traced,', 'x=278,', 'y=11,', 'width=10,', 'height=8]']
[38, '=27', 'Roi[Traced,', 'x=366,', 'y=12,', 'width=6,', 'height=7]']
