[0, 'area=91', 'Roi[Traced,', 'x=10,', 'y=10,', 'width=10,', 'height=10]']
[1, 'area=86', 'Roi[Traced,', 'x=21,', 'y=10,', 'width=9,', 'height=10]']
[2, 'area=86', 'Roi[Traced,', 'x=31,', 'y=10,', 'width=9,', 'height=10]']
[3, 'area=86', 'Roi[Traced,', 'x=41,', 'y=10,', 'width=9,', 'height=10]']
[4, 'area=86', 'Roi[Traced,', 'x=51,', 'y=10,', 'width=9,', 'height=10]']
[5, 'area=86', 'Roi[Traced,', 'x=61,', 'y=10,', 'width=9,', 'height=10]']
[6, 'area=86', 'Roi[Traced,', 'x=71,', 'y=10,', 'width=9,', 'height=10]']
[7, 'area=86', 'Roi[Traced,', 'x=81,', 'y=10,', 'width=9,', 'height=10]']
[8, 'area=86', 'Roi[Traced,', 'x=91,', 'y=10,', 'width=9,', 'height=10]']
[9, 'area=86', 'Roi[Traced,', 'x=101,', 'y=10,', 'width=9,', 'height=10]']
[10, 'area=86', 'Roi[Traced,', 'x=111,', 'y=10,', 'width=9,', 'height=10]']
[11, 'area=86', 'Roi[Traced,', 'x=121,', 'y=10,', 'width=9,', 'height=10]']
[12, 'area=86', 'Roi[Traced,', 'x=131,', 'y=10,', 'width=9,', 'height=10]']
[13, 'area=86', 'Roi[Traced,', 'x=141,', 'y=10,', 'width=9,', 'height=10]']
[14, 'area=86', 'Roi[Traced,', 'x=151,', 'y=10,', 'width=9,', 'height=10]']
[15, 'area=86', 'Roi[Traced,', 'x=161,', 'y=10,', 'width=9,', 'height=10]']
[16, 'area=86', 'Roi[Traced,', 'x=171,', 'y=10,', 'width=9,', 'height=10]']
[17, 'area=86', 'Roi[Traced,', 'x=181,', 'y=10,', 'width=9,', 'height=10]']
[18, 'area=86', 'Roi[Traced,', 'x=191,', 'y=10,', 'width=9,', 'height=10]']
[19, 'area=86', 'Roi[Traced,', 'x=201,', 'y=10,', 'width=9,', 'height=10]']
[20, 'area=86', 'Roi[Traced,', 'x=211,', 'y=10,', 'width=9,', 'height=10]']
[21, 'area=86', 'Roi[Traced,', 'x=221,', 'y=10,', 'width=9,', 'height=10]']
[22, 'area=86', 'Roi[Traced,', 'x=231,', 'y=10,', 'width=9,', 'height=10]']
[23, 'area=86', 'Roi[Traced,', 'x=241,', 'y=10,', 'width=9,', 'height=10]']
[24, 'area=86', 'Roi[Traced,', 'x=251,', 'y=10,', 'width=9,', 'height=10]']
[25, 'area=86', 'Roi[Traced,', 'x=261,', 'y=10,', 'width=9,', 'height=10]']
[26, 'area=86', 'Roi[Traced,', 'x=271,', 'y=10,', 'width=9,', 'height=10]']
[27, 'area=86', 'Roi[Traced,', 'x=281,', 'y=10,', 'width=9,', 'height=10]']
[28, 'area=86', 'Roi[Traced,', 'x=291,', 'y=10,', 'width=9,', 'height=10]']
[29, 'area=86', 'Roi[Traced,', 'x=301,', 'y=10,', 'width=9,', 'height=10]']
[30, 'area=86', 'Roi[Traced,', 'x=311,', 'y=10,', 'width=9,', 'height=10]']
[31, 'area=86', 'Roi[Traced,', 'x=321,', 'y=10,', 'width=9,', 'height=10]']
