[63, '=7887', 'Roi[Traced,', 'x=2510,', 'y=4030,', 'width=501,', 'height=500]']
[64, '=7867', 'Roi[Traced,', 'x=3020,', 'y=4030,', 'width=499,', 'height=500]']
[65, '=7887', 'Roi[Traced,', 'x=3520,', 'y=4030,', 'width=501,', 'height=500]']
[66, '=7867', 'Roi[Traced,', 'x=4030,', 'y=4030,', 'width=499,', 'height=500]']
[67, '=7887', 'Roi[Traced,', 'x=4530,', 'y=4030,', 'width=501,', 'height=500]']
[68, '=786449', 'Roi[Traced,', 'x=5500,', 'y=4030,', 'width=1001,', 'height=1001]']
[69, '=786449', 'Roi[Traced,', 'x=6510,', 'y=4030,', 'width=1001,', 'height=1001]']
[70, '=786449', 'Roi[Traced,', 'x=7520,', 'y=4030,', 'width=1001,', 'height=1001]']
[71, '=786449', 'Roi[Traced,', 'x=8530,', 'y=4030,', 'width=1001,', 'height=1001]']
[72, '=7877', 'Roi[Traced,', 'x=1000,', 'y=4531,', 'width=500,', 'height=500]']
[73, '=7877', 'Roi[Traced,', 'x=1501,', 'y=4531,', 'width=500,', 'height=500]']
[74, '=7877', 'Roi[Traced,', 'x=2010,', 'y=4531,', 'width=500,', 'height=500]']
[75, '=7877', 'Roi[Traced,', 'x=2511,', 'y=4531,', 'width=500,', 'height=500]']
[76, '=7877', 'Roi[Traced,', 'x=3020,', 'y=4531,', 'width=500,', 'height=500]']
[77, '=7877', 'Roi[Traced,', 'x=3521,', 'y=4531,', 'width=500,', 'height=500]']
[78, '=7877', 'Roi[Traced,', 'x=4030,', 'y=4531,', 'width=500,', 'height=500]']
[79, '=7877', 'Roi[Traced,', 'x=4531,', 'y=4531,', 'width=500,', 'height=500]']
[80, '=7867', 'Roi[Traced,', 'x=1000,', 'y=5040,', 'width=499,', 'height=500]']
[81, '=7887', 'Roi[Traced,', 'x=1500,', 'y=5040,', 'width=501,', 'height=500]']
[82, '=7867', 'Roi[Traced,', 'x=2010,', 'y=5040,', 'width=499,', 'height=500]']
[83, '=7887', 'Roi[Traced,', 'x=2510,', 'y=5040,', 'width=501,', 'height=500]']
[84, '=7867', 'Roi[Traced,', 'x=3020,', 'y=5040,', 'width=499,', 'height=500]']
[85, '=7887', 'Roi[Traced,', 'x=3520,', 'y=5040,', 'width=501,', 'height=500]']
[86, '=7867', 'Roi[Traced,', 'x=4030,', 'y=5040,', 'width=499,', 'height=500]']
[87, '=7887', 'Roi[Traced,', 'x=4530,', 'y=5040,', 'width=501,', 'height=500]']
[88, '=786449', 'Roi[Traced,', 'x=5500,', 'y=5040,', 'width=1001,', 'height=1001]']
[89, '=786449', 'Roi[Traced,', 'x=6510,', 'y=5040,', 'width=1001,', 'height=1001]']
[90, '=786449', 'Roi[Traced,', 'x=7520,', 'y=5040,', 'width=1001,', 'height=1001]']
[91, '=786449', 'Roi[Traced,', 'x=8530,', 'y=5040,', 'width=1001,', 'height=1001]']
[92, '=7877', 'Roi[Traced,', 'x=1000,', 'y=5541,', 'width=500,', 'height=500]']
[93, '=7877', 'Roi[Traced,', 'x=1501,', 'y=5541,', 'width=500,', 'height=500]']
[94, '=7877', 'Roi[Traced,', 'x=2010,', 'y=5541,', 'width=500,', 'height=500]']
[95, '=7877', 'Roi[Traced,', 'x=2511,', 'y=5541,', 'width=500,', 'height=500]']
[96, '=7877', 'Roi[Traced,', 'x=3020,', 'y=5541,', 'width=500,', 'height=500]']
[97, '=7877', 'Roi[Traced,', 'x=3521,', 'y=5541,', 'width=500,', 'height=500]']
[98, '=7877', 'Roi[Traced,', 'x=4030,', 'y=5541,', 'width=500,', 'height=500]']
[99, '=7877', 'Roi[Traced,', 'x=4531,', 'y=5541,', 'width=500,', 'height=500]']
[100, '=7867', 'Roi[Traced,', 'x=1000,', 'y=6050,', 'width=499,', 'height=500]']
[101, '=7887', 'Roi[Traced,', 'x=1500,', 'y=6050,', 'width=501,', 'height=500]']
[102, '=7867', 'Roi[Traced,', 'x=2010,', 'y=6050,', 'width=499,', 'height=500]']
[103, '=7887', 'Roi[Traced,', 'x=2510,', 'y=6050,', 'width=501,', 'height=500]']
[104, '=7867', 'Roi[Traced,', 'x=3020,', 'y=6050,', 'width=499,', 'height=500]']
[105, '=7887', 'Roi[Traced,', 'x=3520,', 'y=6050,', 'width=501,', 'height=500]']
[106, '=7867', 'Roi[Traced,', 'x=4030,', 'y=6050,', 'width=499,', 'height=500]']
[107, '=7887', 'Roi[Traced,', 'x=4530,', 'y=6050,', 'width=501,', 'height=500]']
[108, '=786449', 'Roi[Traced,', 'x=5500,', 'y=6050,', 'width=1001,', 'height=1001]']
[109, '=786449', 'Roi[Traced,', 'x=6510,', 'y=6050,', 'width=1001,', 'height=1001]']
[110, '=786449', 'Roi[Traced,', 'x=7520,', 'y=6050,', 'width=1001,', 'height=1001]']
[111, '=786449', 'Roi[Traced,', 'x=8530,', 'y=6050,', 'width=1001,', 'height=1001]']
[112, '=7877', 'Roi[Traced,', 'x=1000,', 'y=6551,', 'width=500,', 'height=500]']
[113, '=7877', 'Roi[Traced,', 'x=1501,', 'y=6551,', 'width=500,', 'height=500]']
[114, '=7877', 'Roi[Traced,', 'x=2010,', 'y=6551,', 'width=500,', 'height=500]']
[115, '=7877', 'Roi[Traced,', 'x=2511,', 'y=6551,', 'width=500,', 'height=500]']
[116, '=7877', 'Roi[Traced,', 'x=3020,', 'y=6551,', 'width=500,', 'height=500]']
[117, '=7877', 'Roi[Traced,', 'x=3521,', 'y=6551,', 'width=500,', 'height=500]']
[118, '=7877', 'Roi[Traced,', 'x=4030,', 'y=6551,', 'width=500,', 'height=500]']
[119, '=7877', 'Roi[Traced,', 'x=4531,', 'y=6551,', 'width=500,', 'height=500]']
[120, '=7867', 'Roi[Traced,', 'x=1000,', 'y=7060,', 'width=499,', 'height=500]']
[121, '=7887', 'Roi[Traced,', 'x=1500,', 'y=7060,', 'width=501,', 'height=500]']
[122, '=7867', 'Roi[Traced,', 'x=2010,', 'y=7060,', 'width=499,', 'height=500]']
[123, '=7887', 'Roi[Traced,', 'x=2510,', 'y=7060,', 'width=501,', 'height=500]']
[124, '=7867', 'Roi[Traced,', 'x=3020,', 'y=7060,', 'width=499,', 'height=500]']
[125, '=7887', 'Roi[Traced,', 'x=3520,', 'y=7060,', 'width=501,', 'height=500]']
[126, '=7867', 'Roi[Traced,', 'x=4030,', 'y=7060,', 'width=499,', 'height=500]']
[127, '=7887', 'Roi[Traced,', 'x=4530,', 'y=7060,', 'width=501,', 'height=500]']
[128, '=786449', 'Roi[Traced,', 'x=5500,', 'y=7060,', 'width=1001,', 'height=1001]']
[129, '=786449', 'Roi[Traced,', 'x=6510,', 'y=7060,', 'width=1001,', 'height=1001]']
[130, '=786449', 'Roi[Traced,', 'x=7520,', 'y=7060,', 'width=1001,', 'height=1001]']
[131, '=786449', 'Roi[Traced,', 'x=8530,', 'y=7060,', 'width=1001,', 'height=1001]']
[132, '=7877', 'Roi[Traced,', 'x=1000,', 'y=7561,', 'width=500,', 'height=500]']
[133, '=7877', 'Roi[Traced,', 'x=1501,', 'y=7561,', 'width=500,', 'height=500]']
[134, '=7877', 'Roi[Traced,', 'x=2010,', 'y=7561,', 'width=500,', 'height=500]']
[135, '=7877', 'Roi[Traced,', 'x=2511,', 'y=7561,', 'width=500,', 'height=500]']
[136, '=7877', 'Roi[Traced,', 'x=3020,', 'y=7561,', 'width=500,', 'height=500]']
[137, '=7877', 'Roi[Traced,', 'x=3521,', 'y=7561,', 'width=500,', 'height=500]']
[138, '=7877', 'Roi[Traced,', 'x=4030,', 'y=7561,', 'width=500,', 'height=500]']
[139, '=7877', 'Roi[Traced,', 'x=4531,', 'y=7561,', 'width=500,', 'height=500]']
[140, '=7867', 'Roi[Traced,', 'x=1000,', 'y=8070,', 'width=499,', 'height=500]']
[141, '=7887', 'Roi[Traced,', 'x=1500,', 'y=8070,', 'width=501,', 'height=500]']
[142, '=7867', 'Roi[Traced,', 'x=2010,', 'y=8070,', 'width=499,', 'height=500]']
[143, '=7887', 'Roi[Traced,', 'x=2510,', 'y=8070,', 'width=501,', 'height=500]']
[144, '=7867', 'Roi[Traced,', 'x=3020,', 'y=8070,', 'width=499,', 'height=500]']
[145, '=7887', 'Roi[Traced,', 'x=3520,', 'y=8070,', 'width=501,', 'height=500]']
[146, '=7867', 'Roi[Traced,', 'x=4030,', 'y=8070,', 'width=499,', 'height=500]']
[147, '=7887', 'Roi[Traced,', 'x=4530,', 'y=8070,', 'width=501,', 'height=500]']
[148, '=786449', 'Roi[Traced,', 'x=5500,', 'y=8070,', 'width=1001,', 'height=1001]']
[149, '=786449', 'Roi[Traced,', 'x=6510,', 'y=8070,', 'width=1001,', 'height=1001]']
[150, '=786449', 'Roi[Traced,', 'x=7520,', 'y=8070,', 'width=1001,', 'height=1001]']
[151, '=786449', 'Roi[Traced,', 'x=8530,', 'y=8070,', 'width=1001,', 'height=1001]']
[152, '=7877', 'Roi[Traced,', 'x=1000,', 'y=8571,', 'width=500,', 'height=500]']
[153, '=7877', 'Roi[Traced,', 'x=1501,', 'y=8571,', 'width=500,', 'height=500]']
[154, '=7877', 'Roi[Traced,', 'x=2010,', 'y=8571,', 'width=500,', 'height=500]']
[155, '=7877', 'Roi[Traced,', 'x=2511,', 'y=8571,', 'width=500,', 'height=500]']
[156, '=7877', 'Roi[Traced,', 'x=3020,', 'y=8571,', 'width=500,', 'height=500]']
[157, '=7877', 'Roi[Traced,', 'x=3521,', 'y=8571,', 'width=500,', 'height=500]']
[158, '=7877', 'Roi[Traced,', 'x=4030,', 'y=8571,', 'width=500,', 'height=500]']
[159, '=7877', 'Roi[Traced,', 'x=4531,', 'y=8571,', 'width=500,', 'height=500]']
approximate number of cells ~160
