[0, '=159', 'Roi[Traced,', 'x=10,', 'y=0,', 'width=19,', 'height=12]']
[1, '=47', 'Roi[Traced,', 'x=38,', 'y=0,', 'width=10,', 'height=6]']
[2, '=78', 'Roi[Traced,', 'x=52,', 'y=0,', 'width=11,', 'height=9]']
[3, '=113', 'Roi[Traced,', 'x=67,', 'y=0,', 'width=26,', 'height=9]']
[4, '=46', 'Roi[Traced,', 'x=123,', 'y=0,', 'width=6,', 'height=13]']
[5, '=62', 'Roi[Traced,', 'x=130,', 'y=0,', 'width=11,', 'height=8]']
[6, '=45', 'Roi[Traced,', 'x=149,', 'y=0,', 'width=10,', 'height=6]']
[7, '=8', 'Roi[Traced,', 'x=165,', 'y=0,', 'width=5,', 'height=2]']
[8, '=30', 'Roi[Traced,', 'x=180,', 'y=0,', 'width=6,', 'height=6]']
[9, '=204', 'Roi[Traced,', 'x=197,', 'y=0,', 'width=18,', 'height=18]']
[10, '=22', 'Roi[Traced,', 'x=239,', 'y=0,', 'width=12,', 'height=2]']
[11, '=22', 'Roi[Traced,', 'x=254,', 'y=0,', 'width=8,', 'height=4]']
[12, '=259', 'Roi[Traced,', 'x=263,', 'y=0,', 'width=29,', 'height=17]']
[13, '=168', 'Roi[Traced,', 'x=290,', 'y=0,', 'width=17,', 'height=15]']
[14, '=237', 'Roi[Traced,', 'x=307,', 'y=0,', 'width=24,', 'height=17]']
[15, '=52', 'Roi[Traced,', 'x=358,', 'y=0,', 'width=10,', 'height=7]']
[16, '=218', 'Roi[Traced,', 'x=386,', 'y=0,', 'width=25,', 'height=15]']
[17, '=66', 'Roi[Traced,', 'x=417,', 'y=0,', 'width=11,', 'height=8]']
[18, '=41', 'Roi[Traced,', 'x=435,', 'y=0,', 'width=13,', 'height=5]']
[19, '=178', 'Roi[Traced,', 'x=449,', 'y=0,', 'width=20,', 'height=13]']
[20, '=51', 'Roi[Traced,', 'x=473,', 'y=0,', 'width=8,', 'height=9]']
[21, '=7', 'Roi[Traced,', 'x=495,', 'y=0,', 'width=2,', 'height=4]']
[22, '=73', 'Roi[Traced,', 'x=333,', 'y=1,', 'width=12,', 'height=11]']
[23, '=193', 'Roi[Traced,', 'x=428,', 'y=1,', 'width=14,', 'height=22]']
[24, '=38', 'Roi[Traced,', 'x=96,', 'y=2,', 'width=13,', 'height=4]']
[25, '=34', 'Roi[Traced,', 'x=174,', 'y=2,', 'width=6,', 'height=7]']
[26, '=145', 'Roi[Traced,', 'x=31,', 'y=3,', 'width=19,', 'height=14]']
[27, '=29', 'Roi[Traced,', 'x=142,', 'y=4,', 'width=6,', 'height=6]']
[28, '=26', 'Roi[Traced,', 'x=187,', 'y=4,', 'width=8,', 'height=5]']
[29, '=96', 'Roi[Traced,', 'x=488,', 'y=5,', 'width=9,', 'height=30]']
[30, '=71', 'Roi[Traced,', 'x=133,', 'y=6,', 'width=10,', 'height=10]']
[31, '=112', 'Roi[Traced,', 'x=214,', 'y=6,', 'width=15,', 'height=11]']
[32, '=99', 'Roi[Traced,', 'x=148,', 'y=7,', 'width=14,', 'height=11]']
[33, '=199', 'Roi[Traced,', 'x=162,', 'y=7,', 'width=17,', 'height=21]']
[34, '=157', 'Roi[Traced,', 'x=84,', 'y=8,', 'width=12,', 'height=17]']
[35, '=101', 'Roi[Traced,', 'x=244,', 'y=9,', 'width=17,', 'height=11]']
[36, '=84', 'Roi[Traced,', 'x=415,', 'y=9,', 'width=12,', 'height=10]']
[37, '=96', 'Roi[Traced,', 'x=477,', 'y=9,', 'width=10,', 'height=13]']
[38, '=153', 'Roi[Traced,', 'x=98,', 'y=10,', 'width=23,', 'height=11]']
[39, '=74', 'Roi[Traced,', 'x=352,', 'y=10,', 'width=13,', 'height=9]']
[40, '=53', 'Roi[Traced,', 'x=454,', 'y=11,', 'width=8,', 'height=8]']
[41, '=115', 'Roi[Traced,', 'x=226,', 'y=13,', 'width=12,', 'height=13]']
[42, '=70', 'Roi[Traced,', 'x=188,', 'y=15,', 'width=10,', 'height=10]']
[43, '=102', 'Roi[Traced,', 'x=269,', 'y=15,', 'width=12,', 'height=12]']
