[0, 'area=343', 'Roi[Traced,', 'x=20,', 'y=20,', 'width=20,', 'height=20]']
[1, 'area=336', 'Roi[Traced,', 'x=41,', 'y=20,', 'width=19,', 'height=20]']
[2, 'area=336', 'Roi[Traced,', 'x=61,', 'y=20,', 'width=19,', 'height=20]']
[3, 'area=336', 'Roi[Traced,', 'x=81,', 'y=20,', 'width=19,', 'height=20]']
[4, 'area=336', 'Roi[Traced,', 'x=101,', 'y=20,', 'width=19,', 'height=20]']
[5, 'area=336', 'Roi[Traced,', 'x=121,', 'y=20,', 'width=19,', 'height=20]']
[6, 'area=336', 'Roi[Traced,', 'x=141,', 'y=20,', 'width=19,', 'height=20]']
[7, 'area=336', 'Roi[Traced,', 'x=161,', 'y=20,', 'width=19,', 'height=20]']
[8, 'area=336', 'Roi[Traced,', 'x=181,', 'y=20,', 'width=19,', 'height=20]']
[9, 'area=336', 'Roi[Traced,', 'x=201,', 'y=20,', 'width=19,', 'height=20]']
[10, 'area=336', 'Roi[Traced,', 'x=221,', 'y=20,', 'width=19,', 'height=20]']
[11, 'area=336', 'Roi[Traced,', 'x=241,', 'y=20,', 'width=19,', 'height=20]']
[12, 'area=336', 'Roi[Traced,', 'x=261,', 'y=20,', 'width=19,', 'height=20]']
[13, 'area=336', 'Roi[Traced,', 'x=281,', 'y=20,', 'width=19,', 'height=20]']
[14, 'area=336', 'Roi[Traced,', 'x=301,', 'y=20,', 'width=19,', 'height=20]']
[15, 'area=336', 'Roi[Traced,', 'x=321,', 'y=20,', 'width=19,', 'height=20]']
[16, 'area=336', 'Roi[Traced,', 'x=341,', 'y=20,', 'width=19,', 'height=20]']
[17, 'area=336', 'Roi[Traced,', 'x=361,', 'y=20,', 'width=19,', 'height=20]']
[18, 'area=336', 'Roi[Traced,', 'x=381,', 'y=20,', 'width=19,', 'height=20]']
[19, 'area=336', 'Roi[Traced,', 'x=401,', 'y=20,', 'width=19,', 'height=20]']
[20, 'area=336', 'Roi[Traced,', 'x=421,', 'y=20,', 'width=19,', 'height=20]']
[21, 'area=336', 'Roi[Traced,', 'x=441,', 'y=20,', 'width=19,', 'height=20]']
