[0, '=103', 'Roi[Traced,', 'x=147,', 'y=0,', 'width=12,', 'height=11]']
[1, '=74', 'Roi[Traced,', 'x=211,', 'y=0,', 'width=14,', 'height=7]']
[2, '=18', 'Roi[Traced,', 'x=254,', 'y=0,', 'width=7,', 'height=3]']
[3, '=42', 'Roi[Traced,', 'x=283,', 'y=0,', 'width=12,', 'height=5]']
[4, '=226', 'Roi[Traced,', 'x=389,', 'y=0,', 'width=22,', 'height=15]']
[5, '=111', 'Roi[Traced,', 'x=464,', 'y=0,', 'width=12,', 'height=13]']
[6, '=143', 'Roi[Traced,', 'x=495,', 'y=0,', 'width=16,', 'height=12]']
[7, '=133', 'Roi[Traced,', 'x=584,', 'y=0,', 'width=20,', 'height=8]']
[8, '=97', 'Roi[Traced,', 'x=610,', 'y=0,', 'width=10,', 'height=12]']
[9, '=139', 'Roi[Traced,', 'x=620,', 'y=0,', 'width=14,', 'height=14]']
[10, '=71', 'Roi[Traced,', 'x=8,', 'y=2,', 'width=12,', 'height=8]']
[11, '=183', 'Roi[Traced,', 'x=262,', 'y=2,', 'width=13,', 'height=21]']
[12, '=123', 'Roi[Traced,', 'x=480,', 'y=2,', 'width=12,', 'height=16]']
[13, '=125', 'Roi[Traced,', 'x=70,', 'y=4,', 'width=11,', 'height=15]']
[14, '=265', 'Roi[Traced,', 'x=178,', 'y=4,', 'width=25,', 'height=16]']
[15, '=107', 'Roi[Traced,', 'x=295,', 'y=6,', 'width=12,', 'height=12]']
[16, '=324', 'Roi[Traced,', 'x=537,', 'y=6,', 'width=19,', 'height=25]']
[17, '=150', 'Roi[Traced,', 'x=0,', 'y=8,', 'width=13,', 'height=15]']
[18, '=188', 'Roi[Traced,', 'x=247,', 'y=11,', 'width=16,', 'height=17]']
[19, '=290', 'Roi[Traced,', 'x=355,', 'y=11,', 'width=18,', 'height=22]']
[20, '=140', 'Roi[Traced,', 'x=378,', 'y=12,', 'width=13,', 'height=16]']
[21, '=106', 'Roi[Traced,', 'x=439,', 'y=14,', 'width=16,', 'height=9]']
[22, '=171', 'Roi[Traced,', 'x=574,', 'y=17,', 'width=15,', 'height=16]']
[23, '=210', 'Roi[Traced,', 'x=195,', 'y=18,', 'width=16,', 'height=22]']
[24, '=159', 'Roi[Traced,', 'x=320,', 'y=19,', 'width=11,', 'height=19]']
[25, '=152', 'Roi[Traced,', 'x=50,', 'y=21,', 'width=14,', 'height=15]']
[26, '=150', 'Roi[Traced,', 'x=155,', 'y=23,', 'width=14,', 'height=17]']
[27, '=271', 'Roi[Traced,', 'x=459,', 'y=23,', 'width=16,', 'height=25]']
[28, '=127', 'Roi[Traced,', 'x=106,', 'y=24,', 'width=15,', 'height=13]']
[29, '=132', 'Roi[Traced,', 'x=402,', 'y=24,', 'width=15,', 'height=14]']
[30, '=117', 'Roi[Traced,', 'x=443,', 'y=25,', 'width=15,', 'height=11]']
[31, '=163', 'Roi[Traced,', 'x=138,', 'y=26,', 'width=16,', 'height=20]']
[32, '=123', 'Roi[Traced,', 'x=276,', 'y=26,', 'width=12,', 'height=14]']
[33, '=201', 'Roi[Traced,', 'x=514,', 'y=26,', 'width=18,', 'height=16]']
[34, '=213', 'Roi[Traced,', 'x=554,', 'y=26,', 'width=20,', 'height=16]']
[35, '=280', 'Roi[Traced,', 'x=238,', 'y=28,', 'width=16,', 'height=32]']
[36, '=122', 'Roi[Traced,', 'x=225,', 'y=29,', 'width=10,', 'height=16]']
[37, '=185', 'Roi[Traced,', 'x=169,', 'y=31,', 'width=13,', 'height=21]']
[38, '=129', 'Roi[Traced,', 'x=372,', 'y=34,', 'width=18,', 'height=9]']
[39, '=149', 'Roi[Traced,', 'x=507,', 'y=34,', 'width=12,', 'height=17]']
[40, '=47', 'Roi[Traced,', 'x=597,', 'y=35,', 'width=10,', 'height=7]']
[41, '=76', 'Roi[Traced,', 'x=488,', 'y=37,', 'width=12,', 'height=11]']
[42, '=167', 'Roi[Traced,', 'x=16,', 'y=38,', 'width=13,', 'height=20]']
[43, '=178', 'Roi[Traced,', 'x=319,', 'y=38,', 'width=16,', 'height=15]']
[44, '=148', 'Roi[Traced,', 'x=76,', 'y=39,', 'width=14,', 'height=15]']
[45, '=126', 'Roi[Traced,', 'x=398,', 'y=39,', 'width=12,', 'height=16]']
[46, '=118', 'Roi[Traced,', 'x=422,', 'y=39,', 'width=10,', 'height=15]']
[47, '=128', 'Roi[Traced,', 'x=435,', 'y=39,', 'width=14,', 'height=13]']
[48, '=126', 'Roi[Traced,', 'x=281,', 'y=40,', 'width=16,', 'height=12]']
[49, '=62', 'Roi[Traced,', 'x=576,', 'y=40,', 'width=14,', 'height=7]']
[50, '=136', 'Roi[Traced,', 'x=382,', 'y=44,', 'width=13,', 'height=14]']
[51, '=133', 'Roi[Traced,', 'x=98,', 'y=45,', 'width=15,', 'height=11]']
[52, '=73', 'Roi[Traced,', 'x=606,', 'y=45,', 'width=11,', 'height=10]']
[53, '=264', 'Roi[Traced,', 'x=517,', 'y=47,', 'width=18,', 'height=22]']
[54, '=71', 'Roi[Traced,', 'x=548,', 'y=47,', 'width=8,', 'height=14]']
[55, '=116', 'Roi[Traced,', 'x=153,', 'y=48,', 'width=13,', 'height=14]']
[56, '=141', 'Roi[Traced,', 'x=359,', 'y=48,', 'width=15,', 'height=13]']
[57, '=108', 'Roi[Traced,', 'x=455,', 'y=49,', 'width=12,', 'height=11]']
[58, '=220', 'Roi[Traced,', 'x=122,', 'y=51,', 'width=20,', 'height=14]']
[59, '=103', 'Roi[Traced,', 'x=493,', 'y=54,', 'width=15,', 'height=11]']
[60, '=99', 'Roi[Traced,', 'x=561,', 'y=54,', 'width=14,', 'height=13]']
[61, '=123', 'Roi[Traced,', 'x=440,', 'y=55,', 'width=11,', 'height=15]']
[62, '=101', 'Roi[Traced,', 'x=594,', 'y=56,', 'width=13,', 'height=14]']
[63, '=147', 'Roi[Traced,', 'x=57,', 'y=59,', 'width=17,', 'height=11]']
[64, '=207', 'Roi[Traced,', 'x=457,', 'y=59,', 'width=17,', 'height=16]']
[65, '=239', 'Roi[Traced,', 'x=171,', 'y=61,', 'width=17,', 'height=19]']
[66, '=306', 'Roi[Traced,', 'x=247,', 'y=61,', 'width=20,', 'height=20]']
[67, '=118', 'Roi[Traced,', 'x=268,', 'y=62,', 'width=11,', 'height=14]']
[68, '=110', 'Roi[Traced,', 'x=610,', 'y=63,', 'width=14,', 'height=10]']
[69, '=222', 'Roi[Traced,', 'x=108,', 'y=64,', 'width=16,', 'height=20]']
[70, '=112', 'Roi[Traced,', 'x=425,', 'y=66,', 'width=11,', 'height=14]']
[71, '=133', 'Roi[Traced,', 'x=369,', 'y=68,', 'width=17,', 'height=10]']
[72, '=67', 'Roi[Traced,', 'x=502,', 'y=69,', 'width=10,', 'height=9]']
[73, '=115', 'Roi[Traced,', 'x=469,', 'y=72,', 'width=16,', 'height=11]']
[74, '=136', 'Roi[Traced,', 'x=410,', 'y=73,', 'width=18,', 'height=11]']
[75, '=111', 'Roi[Traced,', 'x=281,', 'y=74,', 'width=13,', 'height=12]']
[76, '=113', 'Roi[Traced,', 'x=315,', 'y=74,', 'width=13,', 'height=13]']
[77, '=132', 'Roi[Traced,', 'x=618,', 'y=79,', 'width=12,', 'height=17]']
[78, '=125', 'Roi[Traced,', 'x=217,', 'y=80,', 'width=12,', 'height=14]']
[79, '=142', 'Roi[Traced,', 'x=198,', 'y=81,', 'width=16,', 'height=13]']
[80, '=286', 'Roi[Traced,', 'x=527,', 'y=81,', 'width=25,', 'height=24]']
[81, '=244', 'Roi[Traced,', 'x=347,', 'y=82,', 'width=21,', 'height=17]']
[82, '=42', 'Roi[Traced,', 'x=0,', 'y=86,', 'width=3,', 'height=17]']
[83, '=126', 'Roi[Traced,', 'x=418,', 'y=87,', 'width=16,', 'height=13]']
[84, '=139', 'Roi[Traced,', 'x=161,', 'y=88,', 'width=15,', 'height=14]']
[85, '=116', 'Roi[Traced,', 'x=496,', 'y=88,', 'width=13,', 'height=11]']
[86, '=207', 'Roi[Traced,', 'x=87,', 'y=89,', 'width=20,', 'height=18]']
[87, '=110', 'Roi[Traced,', 'x=391,', 'y=89,', 'width=13,', 'height=12]']
[88, '=100', 'Roi[Traced,', 'x=569,', 'y=91,', 'width=17,', 'height=10]']
[89, '=254', 'Roi[Traced,', 'x=146,', 'y=92,', 'width=18,', 'height=24]']
[90, '=280', 'Roi[Traced,', 'x=187,', 'y=92,', 'width=19,', 'height=24]']
[91, '=123', 'Roi[Traced,', 'x=480,', 'y=92,', 'width=16,', 'height=11]']
[92, '=300', 'Roi[Traced,', 'x=75,', 'y=94,', 'width=16,', 'height=24]']
[93, '=235', 'Roi[Traced,', 'x=504,', 'y=96,', 'width=17,', 'height=19]']
[94, '=216', 'Roi[Traced,', 'x=298,', 'y=97,', 'width=17,', 'height=16]']
[95, '=120', 'Roi[Traced,', 'x=278,', 'y=98,', 'width=10,', 'height=16]']
[96, '=4', 'Roi[Traced,', 'x=454,', 'y=101,', 'width=2,', 'height=2]']
[97, '=120', 'Roi[Traced,', 'x=535,', 'y=103,', 'width=15,', 'height=14]']
[98, '=236', 'Roi[Traced,', 'x=41,', 'y=104,', 'width=18,', 'height=22]']
[99, '=192', 'Roi[Traced,', 'x=106,', 'y=104,', 'width=15,', 'height=19]']
[100, '=115', 'Roi[Traced,', 'x=384,', 'y=104,', 'width=12,', 'height=13]']
[101, '=129', 'Roi[Traced,', 'x=138,', 'y=105,', 'width=15,', 'height=13]']
